date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:31:44	10117/10117	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Nov%202022%2018:31:42%20GMT	https://codedthemes.com/demos/admin-templates/materially/react/default/dashboard/default	C:/Users/HP/javascript%20ninja/Ecomm/codedthemes.com/demos/admin-templates/materially/react/default/dashboard/default.html	(from )
19:31:45	126/126	---MCZ	200	added ('OK')	text/plain	date:Thu,%2017%20Nov%202022%2018:31:44%20GMT	https://codedthemes.com/robots.txt		(from )
19:31:46	1746/1746	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Sep%202022%2011:48:28%20GMT	https://codedthemes.com/demos/admin-templates/materially/react/default/static/css/23.4cec5aa3.chunk.css	C:/Users/HP/javascript%20ninja/Ecomm/codedthemes.com/demos/admin-templates/materially/react/default/static/css/23.4cec5aa3.chunk.css	(from https://codedthemes.com/demos/admin-templates/materially/react/default/dashboard/default)
19:31:47	2062/2062	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Sep%202022%2011:48:28%20GMT	https://codedthemes.com/demos/admin-templates/materially/react/default/static/css/main.943b03cb.chunk.css	C:/Users/HP/javascript%20ninja/Ecomm/codedthemes.com/demos/admin-templates/materially/react/default/static/css/main.943b03cb.chunk.css	(from https://codedthemes.com/demos/admin-templates/materially/react/default/dashboard/default)
19:31:49	1679100/1679100	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2021%20Sep%202022%2011:48:28%20GMT	https://codedthemes.com/demos/admin-templates/materially/react/default/static/js/23.35547ade.chunk.js	C:/Users/HP/javascript%20ninja/Ecomm/codedthemes.com/demos/admin-templates/materially/react/default/static/js/23.35547ade.chunk.js	(from https://codedthemes.com/demos/admin-templates/materially/react/default/dashboard/default)
19:31:49	103561/103561	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2021%20Sep%202022%2011:48:28%20GMT	https://codedthemes.com/demos/admin-templates/materially/react/default/static/js/main.f76f654d.chunk.js	C:/Users/HP/javascript%20ninja/Ecomm/codedthemes.com/demos/admin-templates/materially/react/default/static/js/main.f76f654d.chunk.js	(from https://codedthemes.com/demos/admin-templates/materially/react/default/dashboard/default)
19:31:50	39706/39706	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2017%20Nov%202022%2018:31:48%20GMT	https://codedthemes.com/cdn-cgi/challenge-platform/h/g/scripts/alpha/invisible.js?ts=	C:/Users/HP/javascript%20ninja/Ecomm/codedthemes.com/cdn-cgi/challenge-platform/h/g/scripts/alpha/invisible5615.js	(from https://codedthemes.com/demos/admin-templates/materially/react/default/dashboard/default)
19:31:51	10117/10117	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Nov%202022%2018:31:49%20GMT	https://codedthemes.com/demos/admin-templates/materially/react/default/dashboard/Trident/	C:/Users/HP/javascript%20ninja/Ecomm/codedthemes.com/demos/admin-templates/materially/react/default/dashboard/Trident/index.html	(from https://codedthemes.com/demos/admin-templates/materially/react/default/static/js/23.35547ade.chunk.js)
19:31:51	10117/10117	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Nov%202022%2018:31:50%20GMT	https://codedthemes.com/demos/admin-templates/materially/react/default/dashboard/opera/	C:/Users/HP/javascript%20ninja/Ecomm/codedthemes.com/demos/admin-templates/materially/react/default/dashboard/opera/index.html	(from https://codedthemes.com/demos/admin-templates/materially/react/default/static/js/23.35547ade.chunk.js)
19:31:52	850/850	---MC-	200	added ('OK')	text/javascript	date:Thu,%2017%20Nov%202022%2018:31:51%20GMT	https://www.google.com/recaptcha/api.js?	C:/Users/HP/javascript%20ninja/Ecomm/www.google.com/recaptcha/apid41d.js	(from https://codedthemes.com/demos/admin-templates/materially/react/default/static/js/23.35547ade.chunk.js)
