date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:46:34	157144/157144	---MCZ	200	added ('OK')	text/html	etag:W/%224dbfc6674359976b3197a4809ea61e0d%22	https://themeforest.net/item/inst-react-minimalist-graphql-dashboard/25742604	C:/Users/HP/javascript%20ninja/Mat/themeforest.net/item/inst-react-minimalist-graphql-dashboard/25742604.html	(from )
19:46:34	340/340	---MCZ	200	added ('OK')	text/plain	etag:W/%2263756c10-336%22	https://themeforest.net/robots.txt		(from )
19:46:36	111517/111517	---MCZ	200	added ('OK')	application/javascript	etag:W/%227baa082d66863a0e986693c24be770ad%22	https://public-assets.envato-static.com/assets/market/core/datadog-31cd5e61112f0c7c2f9671350fee5cfc4de6155c4c2ed01c6690fdae62d2c099.js	C:/Users/HP/javascript%20ninja/Mat/public-assets.envato-static.com/assets/market/core/datadog-31cd5e61112f0c7c2f9671350fee5cfc4de6155c4c2ed01c6690fdae62d2c099.js	(from https://themeforest.net/item/inst-react-minimalist-graphql-dashboard/25742604)
19:46:37	78173/78173	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fd842aae5dcd629d28ea45f5cca60c5d%22	https://public-assets.envato-static.com/assets/market/core/rollbar-a86e443338a6e0f95d27d14cc8449828a6d2579281d3dc368a02c07743ab099c.js	C:/Users/HP/javascript%20ninja/Mat/public-assets.envato-static.com/assets/market/core/rollbar-a86e443338a6e0f95d27d14cc8449828a6d2579281d3dc368a02c07743ab099c.js	(from https://themeforest.net/item/inst-react-minimalist-graphql-dashboard/25742604)
19:46:38	24288/24288	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Nov%202022%2020:20:09%20GMT	https://themeforest.img.customer.envatousercontent.com/files/304426266/preview.__large_preview.jpeg?auto=compress%2Cformat&q=80&fit=crop&crop=top&max-h=8000&max-w=590&s=e394d64c38c20198f1339543bef739dc	C:/Users/HP/javascript%20ninja/Mat/themeforest.img.customer.envatousercontent.com/files/304426266/preview.__large_preview8d67.jpg	(from https://themeforest.net/item/inst-react-minimalist-graphql-dashboard/25742604)
19:46:38	56337/56337	---M--	200	added ('OK')	image/png	etag:%22616011db88935edc6a2fef5c746a08c5%22	https://public-assets.envato-static.com/assets/generated_sprites/logos-6f8a015ab6d9602102f6c4dde38bf1a128f2647f20b76023c4793c2d3d86e57c.png	C:/Users/HP/javascript%20ninja/Mat/public-assets.envato-static.com/assets/generated_sprites/logos-6f8a015ab6d9602102f6c4dde38bf1a128f2647f20b76023c4793c2d3d86e57c.png	(from https://themeforest.net/item/inst-react-minimalist-graphql-dashboard/25742604)
19:46:38	9797/9797	---M--	200	added ('OK')	image/png	etag:%2264089c65cdcb56ecdfdcccb445fb844c%22	https://public-assets.envato-static.com/assets/generated_sprites/common-14f8bc60470b39265fe5c01e92035209bd04b91cd7da99d59ca3ccd9de5eac62.png	C:/Users/HP/javascript%20ninja/Mat/public-assets.envato-static.com/assets/generated_sprites/common-14f8bc60470b39265fe5c01e92035209bd04b91cd7da99d59ca3ccd9de5eac62.png	(from https://themeforest.net/item/inst-react-minimalist-graphql-dashboard/25742604)
19:46:39	3056/3056	---M--	200	added ('OK')	image/png	etag:%223305876b2f17da6c9a0d8c1bb60b62db%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	C:/Users/HP/javascript%20ninja/Mat/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	(from https://themeforest.net/item/inst-react-minimalist-graphql-dashboard/25742604)
19:46:39	6700/6700	---M--	200	added ('OK')	image/png	etag:%2271bb96fca73f4ae046c5e4860cb86af5%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	C:/Users/HP/javascript%20ninja/Mat/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	(from https://themeforest.net/item/inst-react-minimalist-graphql-dashboard/25742604)
19:46:39	9251/9251	---M--	200	added ('OK')	image/png	etag:%22571b0585baccf30bde09cb6e5aad849f%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	C:/Users/HP/javascript%20ninja/Mat/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	(from https://themeforest.net/item/inst-react-minimalist-graphql-dashboard/25742604)
19:46:40	9251/9251	---M--	200	added ('OK')	image/png	etag:%22571b0585baccf30bde09cb6e5aad849f%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-precomposed.png	C:/Users/HP/javascript%20ninja/Mat/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-precomposed.png	(from https://themeforest.net/item/inst-react-minimalist-graphql-dashboard/25742604)
19:46:40	200236/200236	---MCZ	200	added ('OK')	text/css	etag:W/%227aa266af077b50bef12873b630732f7e%22	https://public-assets.envato-static.com/assets/market/core/index-b4f78592e3e1c09f603503f7e1f7bac7224266a095a4b756b29c0f84357d523a.css	C:/Users/HP/javascript%20ninja/Mat/public-assets.envato-static.com/assets/market/core/index-b4f78592e3e1c09f603503f7e1f7bac7224266a095a4b756b29c0f84357d523a.css	(from https://themeforest.net/item/inst-react-minimalist-graphql-dashboard/25742604)
19:46:40	235124/235124	---MCZ	200	added ('OK')	text/css	etag:W/%22e46230d12c2677b3c78b24d05658ba5d%22	https://public-assets.envato-static.com/assets/market/pages/default/index-245ba469d76bcbe175c130b32060d337e67a818eb4fd797e515a232f74328cae.css	C:/Users/HP/javascript%20ninja/Mat/public-assets.envato-static.com/assets/market/pages/default/index-245ba469d76bcbe175c130b32060d337e67a818eb4fd797e515a232f74328cae.css	(from https://themeforest.net/item/inst-react-minimalist-graphql-dashboard/25742604)
19:46:40	13256/13256	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254b791f9d2322704e35e3c4fe9863571%22	https://public-assets.envato-static.com/assets/market/core/head-df4183f2f1b84caa8ad6707c533e562f18a9eaae2b2e4d2081cf439c23343ad3.js	C:/Users/HP/javascript%20ninja/Mat/public-assets.envato-static.com/assets/market/core/head-df4183f2f1b84caa8ad6707c533e562f18a9eaae2b2e4d2081cf439c23343ad3.js	(from https://themeforest.net/item/inst-react-minimalist-graphql-dashboard/25742604)
19:46:41	68/68	---M--	200	added ('OK')	image/png	etag:%22978c1bee49d7ad5fc1a4d81099b13e18%22	https://public-assets.envato-static.com/assets/common/transparent-1px-93ae7d494fad0fb30cbf3ae746a39c4bc7a0f8bbf87fbb587a3f3c01f3c5ce20.png	C:/Users/HP/javascript%20ninja/Mat/public-assets.envato-static.com/assets/common/transparent-1px-93ae7d494fad0fb30cbf3ae746a39c4bc7a0f8bbf87fbb587a3f3c01f3c5ce20.png	(from https://themeforest.net/item/inst-react-minimalist-graphql-dashboard/25742604)
19:46:41	190374/190374	---M--	200	added ('OK')	image/jpeg	etag:%220373f1099c4b01cabb70c046c37d7f93%22	https://public-assets.envato-static.com/assets/header/items-collage-068b6a0e859dc995a5892aedc327396630e7868b1bc969c219375e4b3db87ca5.jpg	C:/Users/HP/javascript%20ninja/Mat/public-assets.envato-static.com/assets/header/items-collage-068b6a0e859dc995a5892aedc327396630e7868b1bc969c219375e4b3db87ca5.jpg	(from https://themeforest.net/item/inst-react-minimalist-graphql-dashboard/25742604)
